Tag;Stunde;AVG_TA200
19.01.2022;00:00;,20
19.01.2022;01:00;-,09
19.01.2022;02:00;-,70
19.01.2022;03:00;-1,11
19.01.2022;04:00;-,99
19.01.2022;05:00;-1,15
19.01.2022;06:00;-1,53
19.01.2022;07:00;-2,07
19.01.2022;08:00;-2,11
19.01.2022;09:00;,99
19.01.2022;10:00;5,00
19.01.2022;11:00;4,92
19.01.2022;12:00;5,12
19.01.2022;13:00;5,38
19.01.2022;14:00;6,10
19.01.2022;15:00;5,17
19.01.2022;16:00;4,19
19.01.2022;17:00;3,73
19.01.2022;18:00;3,61
19.01.2022;19:00;3,16
19.01.2022;20:00;3,18
19.01.2022;21:00;3,17
19.01.2022;22:00;3,01
19.01.2022;23:00;2,96
20.01.2022;00:00;2,99
20.01.2022;01:00;2,62
20.01.2022;02:00;2,09
20.01.2022;03:00;2,39
20.01.2022;04:00;2,26
20.01.2022;05:00;2,18
20.01.2022;06:00;2,50
20.01.2022;07:00;2,72
20.01.2022;08:00;2,59
20.01.2022;09:00;2,89
20.01.2022;10:00;2,97
20.01.2022;11:00;3,78
20.01.2022;12:00;4,42
20.01.2022;13:00;5,00
20.01.2022;14:00;4,89
20.01.2022;15:00;4,56
20.01.2022;16:00;3,59
20.01.2022;17:00;1,03
20.01.2022;18:00;1,00
20.01.2022;19:00;1,33
20.01.2022;20:00;,83
20.01.2022;21:00;,61
20.01.2022;22:00;,12
20.01.2022;23:00;-,46
21.01.2022;00:00;,12
21.01.2022;01:00;,49
21.01.2022;02:00;,73
21.01.2022;03:00;1,00
21.01.2022;04:00;,52
21.01.2022;05:00;,08
21.01.2022;06:00;-,61
21.01.2022;07:00;-,64
21.01.2022;08:00;-,15
21.01.2022;09:00;,19
21.01.2022;10:00;1,11
21.01.2022;11:00;1,94
21.01.2022;12:00;2,66
21.01.2022;13:00;3,56
21.01.2022;14:00;3,82
21.01.2022;15:00;3,24
21.01.2022;16:00;3,17
21.01.2022;17:00;2,84
21.01.2022;18:00;2,33
21.01.2022;19:00;2,03
21.01.2022;20:00;1,75
21.01.2022;21:00;1,56
21.01.2022;22:00;1,46
21.01.2022;23:00;1,35
22.01.2022;00:00;1,43
22.01.2022;01:00;1,41
22.01.2022;02:00;1,39
22.01.2022;03:00;1,42
22.01.2022;04:00;1,36
22.01.2022;05:00;1,39
22.01.2022;06:00;1,44
22.01.2022;07:00;1,48
22.01.2022;08:00;1,57
22.01.2022;09:00;1,81
22.01.2022;10:00;2,40
22.01.2022;11:00;2,99
22.01.2022;12:00;3,99
22.01.2022;13:00;5,01
22.01.2022;14:00;5,44
22.01.2022;15:00;5,86
22.01.2022;16:00;5,28
22.01.2022;17:00;3,58
22.01.2022;18:00;2,06
22.01.2022;19:00;1,02
22.01.2022;20:00;,29
22.01.2022;21:00;-,15
22.01.2022;22:00;-,73
22.01.2022;23:00;-,86
23.01.2022;00:00;,01
23.01.2022;01:00;,44
23.01.2022;02:00;,57
23.01.2022;03:00;1,44
23.01.2022;04:00;1,48
23.01.2022;05:00;1,12
23.01.2022;06:00;,26
23.01.2022;07:00;,39
23.01.2022;08:00;,63
23.01.2022;09:00;,91
23.01.2022;10:00;2,47
23.01.2022;11:00;3,83
23.01.2022;12:00;4,94
23.01.2022;13:00;6,08
23.01.2022;14:00;6,84
23.01.2022;15:00;6,55
23.01.2022;16:00;5,67
23.01.2022;17:00;3,87
23.01.2022;18:00;2,60
23.01.2022;19:00;1,63
23.01.2022;20:00;1,22
23.01.2022;21:00;1,14
23.01.2022;22:00;,97
23.01.2022;23:00;,06
24.01.2022;00:00;-,67
24.01.2022;01:00;-,92
24.01.2022;02:00;-1,28
24.01.2022;03:00;-1,47
24.01.2022;04:00;-1,68
24.01.2022;05:00;-1,88
24.01.2022;06:00;-1,76
24.01.2022;07:00;-1,68
24.01.2022;08:00;-2,17
24.01.2022;09:00;-1,82
24.01.2022;10:00;,31
24.01.2022;11:00;2,06
24.01.2022;12:00;2,92
24.01.2022;13:00;3,93
24.01.2022;14:00;4,58
